Portfolios,f(X1),f(X2),f(X3),f(X4),Portfolio Expected Return,Portfolio Risk
Portfolio 103,0.1,0.5,0.1,0.3,0.117,0.05662
Portfolio 104,0.1,0.5,0.2,0.2,0.109,0.037968
Portfolio 105,0.1,0.5,0.4,0,0.093,0.062705
Portfolio 106,0.1,0.6,0,0.3,0.113,0.066338
Portfolio 107,0.1,0.6,0.1,0.2,0.105,0.051655
Portfolio 108,0.1,0.6,0.3,0,0.089,0.04856
Portfolio 109,0.1,0.7,0,0.2,0.101,0.069373
Portfolio 110,0.1,0.7,0.2,0,0.085,0.062473
Portfolio 111,0.1,0.8,0,0.1,0.089,0.107718
Portfolio 112,0.1,0.8,0.1,0,0.081,0.104444
Portfolio 113,0.1,0.9,0,0,0.077,0.130806
Portfolio 114,0.2,0,0,0.8,0.17,0.380312
Portfolio 115,0.2,0,0.1,0.7,0.162,0.257006
Portfolio 116,0.2,0,0.2,0.6,0.154,0.191712
Portfolio 117,0.2,0,0.3,0.5,0.146,0.0876
Portfolio 118,0.2,0,0.4,0.4,0.138,0.079264
Portfolio 119,0.2,0,0.5,0.3,0.13,0.0696
Portfolio 120,0.2,0,0.6,0.2,0.122,0.119712
Portfolio 121,0.2,0,0.8,0,0.106,0.202056
Portfolio 122,0.2,0.1,0,0.7,0.158,0.256796
Portfolio 123,0.2,0.1,0.1,0.6,0.15,0.171578
Portfolio 124,0.2,0.1,0.2,0.5,0.142,0.105428
Portfolio 125,0.2,0.1,0.3,0.4,0.134,0.039316
Portfolio 126,0.2,0.1,0.4,0.3,0.126,0.034816
Portfolio 127,0.2,0.1,0.5,0.2,0.118,0.064928
Portfolio 128,0.2,0.1,0.6,0.1,0.11,0.095514
Portfolio 129,0.2,0.1,0.7,0,0.102,0.136958
Portfolio 130,0.2,0.2,0,0.6,0.146,0.190872
Portfolio 131,0.2,0.2,0.1,0.5,0.138,0.105218
Portfolio 132,0.2,0.2,0.2,0.4,0.13,0.078
Portfolio 133,0.2,0.2,0.3,0.3,0.122,0.049888
Portfolio 134,0.2,0.2,0.4,0.2,0.114,0.06
Portfolio 135,0.2,0.2,0.5,0.1,0.106,0.061444
Portfolio 136,0.2,0.2,0.6,0,0.098,0.105776
Portfolio 137,0.2,0.3,0,0.5,0.134,0.086527
Portfolio 138,0.2,0.3,0.1,0.4,0.126,0.038873
Portfolio 139,0.2,0.3,0.2,0.3,0.118,0.049655
Portfolio 140,0.2,0.3,0.3,0.2,0.11,0.046029
Portfolio 141,0.2,0.3,0.4,0.1,0.102,0.027473
Portfolio 142,0.2,0.3,0.5,0,0.094,0.051805
Portfolio 143,0.2,0.4,0,0.4,0.122,0.077492
Portfolio 144,0.2,0.4,0.1,0.3,0.114,0.031373
Portfolio 145,0.2,0.4,0.2,0.2,0.106,0.048
Portfolio 146,0.2,0.4,0.4,0,0.09,0.049892
Portfolio 147,0.2,0.5,0,0.3,0.11,0.056527
Portfolio 148,0.2,0.5,0.1,0.2,0.102,0.037718
Portfolio 149,0.2,0.5,0.3,0,0.086,0.039805
Portfolio 150,0.2,0.6,0,0.2,0.098,0.070872
Portfolio 151,0.2,0.6,0.1,0.1,0.09,0.044806
Portfolio 152,0.2,0.6,0.2,0,0.082,0.057776
Portfolio 153,0.2,0.8,0,0,0.074,0.083224
Portfolio 154,0.3,0,0,0.7,0.155,0.238202
Portfolio 155,0.3,0,0.1,0.6,0.147,0.13374
Portfolio 156,0.3,0,0.2,0.5,0.139,0.08729
Portfolio 157,0.3,0,0.3,0.4,0.131,0.098852
Portfolio 158,0.3,0,0.4,0.3,0.123,0.094352
Portfolio 159,0.3,0,0.5,0.2,0.115,0.065226
Portfolio 160,0.3,0,0.7,0,0.099,0.129626
Portfolio 161,0.3,0.1,0,0.6,0.143,0.13353
Portfolio 162,0.3,0.1,0.1,0.5,0.135,0.086312
Portfolio 163,0.3,0.1,0.2,0.4,0.127,0.039006
Portfolio 164,0.3,0.1,0.3,0.3,0.119,0.049712
Portfolio 165,0.3,0.1,0.4,0.2,0.111,0.030442
Portfolio 166,0.3,0.1,0.5,0.1,0.103,0.052056
Portfolio 167,0.3,0.1,0.6,0,0.095,0.0735
Portfolio 168,0.3,0.2,0,0.5,0.131,0.08645
Portfolio 169,0.3,0.2,0.1,0.4,0.123,0.038796
Portfolio 170,0.3,0.2,0.2,0.3,0.115,0.049578
Portfolio 171,0.3,0.2,0.3,0.2,0.107,0.045514
Portfolio 172,0.3,0.2,0.4,0.1,0.099,0.026958
Portfolio 173,0.3,0.2,0.5,0,0.091,0.05129
Portfolio 174,0.3,0.3,0,0.4,0.119,0.096962
Portfolio 175,0.3,0.3,0.1,0.3,0.111,0.048872
Portfolio 176,0.3,0.3,0.2,0.2,0.103,0.042806
Portfolio 177,0.3,0.3,0.4,0,0.087,0.062996
Portfolio 178,0.3,0.4,0,0.3,0.107,0.089462
Portfolio 179,0.3,0.4,0.1,0.2,0.099,0.024524
Portfolio 180,0.3,0.4,0.3,0,0.083,0.059996
Portfolio 181,0.3,0.5,0,0.2,0.095,0.049678
Portfolio 182,0.3,0.5,0.1,0.1,0.087,0.029224
Portfolio 183,0.3,0.5,0.2,0,0.079,0.036582
Portfolio 184,0.3,0.7,0,0,0.071,0.057254
Portfolio 185,0.4,0,0,0.6,0.14,0.191248
Portfolio 186,0.4,0,0.1,0.5,0.132,0.10563
Portfolio 187,0.4,0,0.2,0.4,0.124,0.078024
Portfolio 188,0.4,0,0.3,0.3,0.116,0.090352
Portfolio 189,0.4,0,0.4,0.2,0.108,0.061768
Portfolio 190,0.4,0,0.5,0.1,0.1,0.064554
Portfolio 191,0.4,0,0.6,0,0.092,0.108224
Portfolio 192,0.4,0.1,0,0.5,0.128,0.10542
Portfolio 193,0.4,0.1,0.1,0.4,0.12,0.096202
Portfolio 194,0.4,0.1,0.2,0.3,0.112,0.030506
Portfolio 195,0.4,0.1,0.3,0.2,0.104,0.026442
Portfolio 196,0.4,0.1,0.4,0.1,0.096,0.059626
Portfolio 197,0.4,0.1,0.5,0,0.088,0.06107
Portfolio 198,0.4,0.2,0,0.4,0.116,0.077184
Portfolio 199,0.4,0.2,0.1,0.3,0.108,0.030296
Portfolio 200,0.4,0.2,0.2,0.2,0.1,0.044
Portfolio 201,0.4,0.2,0.4,0,0.084,0.047832
Portfolio 202,0.4,0.3,0,0.3,0.104,0.088462
Portfolio 203,0.4,0.3,0.1,0.2,0.096,0.023524
Portfolio 204,0.4,0.3,0.3,0,0.08,0.058996
Portfolio 205,0.4,0.4,0,0.2,0.092,0.050096
Portfolio 206,0.4,0.4,0.1,0.1,0.084,0.035254
Portfolio 207,0.4,0.4,0.2,0,0.076,0.037
Portfolio 208,0.4,0.5,0,0.1,0.08,0.036972
Portfolio 209,0.4,0.5,0.1,0,0.072,0.033698
Portfolio 210,0.4,0.6,0,0,0.068,0.052896
Portfolio 211,0.5,0,0,0.5,0.125,0.23945
Portfolio 212,0.5,0,0.1,0.4,0.117,0.09713
Portfolio 213,0.5,0,0.2,0.3,0.109,0.05329
Portfolio 214,0.5,0,0.3,0.2,0.101,0.049226
Portfolio 215,0.5,0,0.4,0.1,0.093,0.060554
Portfolio 216,0.5,0,0.5,0,0.085,0.13785
Portfolio 217,0.5,0.1,0,0.4,0.113,0.09692
Portfolio 218,0.5,0.1,0.1,0.3,0.105,0.052312
Portfolio 219,0.5,0.1,0.2,0.2,0.097,0.028928
Portfolio 220,0.5,0.1,0.4,0,0.081,0.05707
Portfolio 221,0.5,0.2,0,0.3,0.101,0.05245
Portfolio 222,0.5,0.2,0.1,0.2,0.093,0.028718
Portfolio 223,0.5,0.2,0.3,0,0.077,0.03529
Portfolio 224,0.5,0.3,0,0.2,0.089,0.045678
Portfolio 225,0.5,0.3,0.1,0.1,0.081,0.025224
Portfolio 226,0.5,0.3,0.2,0,0.073,0.032582
Portfolio 227,0.5,0.4,0,0.1,0.077,0.035972
Portfolio 228,0.5,0.4,0.1,0,0.069,0.032698
Portfolio 229,0.5,0.5,0,0,0.065,0.07015
Portfolio 230,0.6,0,0,0.4,0.11,0.157248
Portfolio 231,0.6,0,0.1,0.3,0.102,0.05724
Portfolio 232,0.6,0,0.2,0.2,0.094,0.055712
Portfolio 233,0.6,0,0.4,0,0.078,0.092224
Portfolio 234,0.6,0.1,0,0.3,0.098,0.05703
Portfolio 235,0.6,0.1,0.1,0.2,0.09,0.035578
Portfolio 236,0.6,0.1,0.3,0,0.074,0.0375
Portfolio 237,0.6,0.2,0,0.2,0.086,0.054872
Portfolio 238,0.6,0.2,0.1,0.1,0.078,0.028806
Portfolio 239,0.6,0.2,0.2,0,0.07,0.041776
Portfolio 240,0.6,0.4,0,0,0.062,0.048896
Portfolio 241,0.7,0,0,0.3,0.095,0.102202
Portfolio 242,0.7,0,0.1,0.2,0.087,0.044506
Portfolio 243,0.7,0,0.3,0,0.071,0.065626
Portfolio 244,0.7,0.1,0,0.2,0.083,0.044296
Portfolio 245,0.7,0.1,0.2,0,0.067,0.036958
Portfolio 246,0.7,0.3,0,0,0.059,0.041254
Portfolio 247,0.8,0,0,0.2,0.08,0.074312
Portfolio 248,0.8,0,0.1,0.1,0.072,0.058928
Portfolio 249,0.8,0,0.2,0,0.064,0.058056
Portfolio 250,0.8,0.1,0,0.1,0.068,0.058718
Portfolio 251,0.8,0.1,0.1,0,0.06,0.055444
Portfolio 252,0.8,0.2,0,0,0.056,0.047224
Portfolio 253,0.9,0,0,0.1,0.065,0.073578
Portfolio 254,0.9,0,0.1,0,0.057,0.069514
Portfolio 255,0.9,0.1,0,0,0.053,0.066806
Portfolio 256,1,0,0,0,0.05,0.1
